Date,Total net sales,Total cost of sales,Gross margin,Research and development Expense,"Selling, general and administrative expense",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share Basic:,Earning per share Diluted,Shares used in computing earnings per share Basic,Shares used in computing earnings per share Diluted
9/24/2022,394328.00,223546.00,170782.00,26251.00,25094.00,51345.00,119437.00,-334.00,119103.00,19300.00,99803.00,6.15,6.11,16215963.00,16325819.00
9/27/2021,365817.00,212981.00,152836.00,21914.00,21973.00,43887.00,108949.00,258.00,109207.00,14527.00,94680.00,5.57,5.61,16701272.00,16864919.00
9/28/2020,274515.00,169559.00,104956.00,18752.00,19916.00,38668.00,66288.00,803.00,67091.00,9680.00,57411.00,3.31,3.28,17352119.00,17528214.00
9/27/2019,260174.00,161782.00,98392.00,16217.00,18245.00,34462.00,63930.00,1807.00,65737.00,10481.00,55256.00,11.97,11.89,4617834.00,4648913.00
9/28/2018,265595.00,163756.00,101839.00,14236.00,16705.00,30941.00,70898.00,2005.00,72903.00,13372.00,59531.00,12.01,11.91,4955377.00,5000109.00
9/27/2017,229234.00,141048.00,88186.00,11581.00,15261.00,26842.00,61344.00,2745.00,64089.00,15738.00,48351.00,9.27,9.21,5217242.00,5251692.00
9/26/2016,215639.00,131376.00,84263.00,10045.00,14194.00,24239.00,60024.00,1348.00,61372.00,15685.00,45687.00,8.35,8.31,5470820.00,5500281.00
9/28/2015,233715.00,140089.00,93626.00,8067.00,14329.00,22396.00,71230.00,1285.00,72515.00,19121.00,53394.00,9.28,9.22,5753421.00,5793069.00
9/26/2014,182795.00,112258.00,70537.00,6041.00,11993.00,18034.00,52503.00,980.00,53483.00,13973.00,39510.00,6.49,6.45,6085572.00,6122663.00
9/27/2013,170910.00,106606.00,64304.00,4475.00,10830.00,15305.00,48999.00,1156.00,50155.00,13118.00,37037.00,40.03,39.75,925331.00,931662.00
9/27/2012,156508.00,87846.00,68662.00,3381.00,10040.00,13421.00,55241.00,522.00,55763.00,14030.00,41733.00,44.64,44.15,934818.00,945355.00
9/27/2011,108249.00,64431.00,43818.00,2429.00,7599.00,10028.00,33790.00,415.00,34205.00,8283.00,25922.00,28.05,27.68,924258.00,936645.00
9/27/2010,65225.00,39541.00,25684.00,1782.00,5517.00,7299.00,18385.00,155.00,18540.00,4527.00,14013.00,15.41,15.15,909461.00,924712.00
9/27/2009,42905.00,25683.00,17222.00,1333.00,4149.00,5482.00,11740.00,326.00,12066.00,3831.00,8235.00,9.22,9.08,893016.00,907005.00
